saddr,daddr,sport
185.81.76.129,192.168.88.240,21
185.81.76.34,192.168.88.240,21
212.237.255.34,192.168.88.240,21
95.214.109.72,192.168.88.240,21
185.81.76.251,192.168.88.240,21
185.81.76.3,192.168.88.240,21
185.81.76.92,192.168.88.240,21
185.81.79.185,192.168.88.240,21
185.81.76.250,192.168.88.240,21
185.81.79.190,192.168.88.240,21
185.81.76.67,192.168.88.240,21
195.181.255.120,192.168.88.240,21
185.81.76.86,192.168.88.240,21
185.81.77.155,192.168.88.240,21
185.81.79.175,192.168.88.240,21
185.81.79.162,192.168.88.240,21
185.81.78.6,192.168.88.240,21
185.81.78.217,192.168.88.240,21
185.81.76.123,192.168.88.240,21
185.81.76.16,192.168.88.240,21
185.81.79.147,192.168.88.240,21
185.81.79.107,192.168.88.240,21
195.181.255.4,192.168.88.240,21
185.81.78.4,192.168.88.240,21
185.81.79.241,192.168.88.240,21
185.81.79.169,192.168.88.240,21
185.81.77.166,192.168.88.240,21
185.81.79.156,192.168.88.240,21
185.81.79.138,192.168.88.240,21
185.81.77.221,192.168.88.240,21
185.81.79.155,192.168.88.240,21
185.81.76.133,192.168.88.240,21
185.81.79.225,192.168.88.240,21
185.81.77.105,192.168.88.240,21
185.81.78.147,192.168.88.240,21
185.81.79.200,192.168.88.240,21
185.81.79.173,192.168.88.240,21
185.81.76.97,192.168.88.240,21
185.81.76.126,192.168.88.240,21
185.81.77.77,192.168.88.240,21
185.81.78.22,192.168.88.240,21
185.81.79.13,192.168.88.240,21
185.81.79.194,192.168.88.240,21
185.81.79.168,192.168.88.240,21
185.81.79.174,192.168.88.240,21
185.81.79.135,192.168.88.240,21
212.237.255.3,192.168.88.240,21
185.81.78.213,192.168.88.240,21
185.142.11.106,192.168.88.240,21
185.81.76.253,192.168.88.240,21
185.142.11.149,192.168.88.240,21
185.81.78.226,192.168.88.240,21
212.237.255.166,192.168.88.240,21
185.81.77.165,192.168.88.240,21
185.142.11.74,192.168.88.240,21
212.237.255.18,192.168.88.240,21
185.81.77.75,192.168.88.240,21
185.81.79.185,192.168.88.240,21
95.214.109.72,192.168.88.240,21
